Date : 2023-12-18 11:44:16
Directory : d:\Trabajos\PWC\Test-tecnico-Java
Total : 182 files,  8870 codes, 664 comments, 1457 blanks, all 10991 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        177 |      8,679 |        650 |      1,423 |     10,752 |
| XML      |          3 |        121 |          2 |          4 |        127 |
| Markdown |          1 |         50 |          0 |         24 |         74 |
| SQL      |          1 |         20 |         12 |          6 |         38 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        182 |      8,870 |        664 |      1,457 |     10,991 |
| . (Files)                                                                                                                                      |          2 |         70 |         12 |         30 |        112 |
| TestTecnico                                                                                                                                    |        180 |      8,800 |        652 |      1,427 |     10,879 |
| TestTecnico (Files)                                                                                                                            |          1 |         73 |          2 |          2 |         77 |
| TestTecnico\src                                                                                                                                |         43 |      5,425 |        557 |      1,381 |      7,363 |
| TestTecnico\src\main                                                                                                                           |         43 |      5,425 |        557 |      1,381 |      7,363 |
| TestTecnico\src\main\java                                                                                                                      |         42 |      5,401 |        557 |      1,380 |      7,338 |
| TestTecnico\src\main\java\com                                                                                                                  |         42 |      5,401 |        557 |      1,380 |      7,338 |
| TestTecnico\src\main\java\com\mycompany                                                                                                        |         42 |      5,401 |        557 |      1,380 |      7,338 |
| TestTecnico\src\main\java\com\mycompany\testtecnico                                                                                            |         42 |      5,401 |        557 |      1,380 |      7,338 |
| TestTecnico\src\main\java\com\mycompany\testtecnico (Files)                                                                                    |          1 |         12 |         17 |         14 |         43 |
| TestTecnico\src\main\java\com\mycompany\testtecnico\igu                                                                                        |         15 |      3,340 |        293 |        618 |      4,251 |
| TestTecnico\src\main\java\com\mycompany\testtecnico\logic                                                                                      |         11 |        742 |         94 |        278 |      1,114 |
| TestTecnico\src\main\java\com\mycompany\testtecnico\persistence                                                                                |         15 |      1,307 |        153 |        470 |      1,930 |
| TestTecnico\src\main\java\com\mycompany\testtecnico\persistence (Files)                                                                        |         12 |      1,271 |        153 |        463 |      1,887 |
| TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\exceptions                                                                     |          3 |         36 |          0 |          7 |         43 |
| TestTecnico\src\main\resources                                                                                                                 |          1 |         24 |          0 |          1 |         25 |
| TestTecnico\src\main\resources\META-INF                                                                                                        |          1 |         24 |          0 |          1 |         25 |
| TestTecnico\target                                                                                                                             |        136 |      3,302 |         93 |         44 |      3,439 |
| TestTecnico\target\classes                                                                                                                     |        126 |      3,189 |         93 |          4 |      3,286 |
| TestTecnico\target\classes\META-INF                                                                                                            |          1 |         24 |          0 |          1 |         25 |
| TestTecnico\target\classes\com                                                                                                                 |        125 |      3,165 |         93 |          3 |      3,261 |
| TestTecnico\target\classes\com\mycompany                                                                                                       |        125 |      3,165 |         93 |          3 |      3,261 |
| TestTecnico\target\classes\com\mycompany\testtecnico                                                                                           |        125 |      3,165 |         93 |          3 |      3,261 |
| TestTecnico\target\classes\com\mycompany\testtecnico (Files)                                                                                   |          1 |         12 |          0 |          0 |         12 |
| TestTecnico\target\classes\com\mycompany\testtecnico\igu                                                                                       |         88 |      2,053 |         68 |          2 |      2,123 |
| TestTecnico\target\classes\com\mycompany\testtecnico\logic                                                                                     |         21 |        416 |          0 |          1 |        417 |
| TestTecnico\target\classes\com\mycompany\testtecnico\persistence                                                                               |         15 |        684 |         25 |          0 |        709 |
| TestTecnico\target\classes\com\mycompany\testtecnico\persistence (Files)                                                                       |         12 |        658 |         25 |          0 |        683 |
| TestTecnico\target\classes\com\mycompany\testtecnico\persistence\exceptions                                                                    |          3 |         26 |          0 |          0 |         26 |
| TestTecnico\target\generated-sources                                                                                                           |         10 |        113 |          0 |         40 |        153 |
| TestTecnico\target\generated-sources\annotations                                                                                               |         10 |        113 |          0 |         40 |        153 |
| TestTecnico\target\generated-sources\annotations\com                                                                                           |         10 |        113 |          0 |         40 |        153 |
| TestTecnico\target\generated-sources\annotations\com\mycompany                                                                                 |         10 |        113 |          0 |         40 |        153 |
| TestTecnico\target\generated-sources\annotations\com\mycompany\testtecnico                                                                     |         10 |        113 |          0 |         40 |        153 |
| TestTecnico\target\generated-sources\annotations\com\mycompany\testtecnico\logic                                                               |         10 |        113 |          0 |         40 |        153 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                       | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
